編號,行政區,門牌,交易日,建物型態,主要用途,樓層,總樓層,交易時屋齡,總價(萬),有車位,車位價(萬),車位(坪),車位可拆分,總坪,主建物(坪),附屬+陽台(坪),共有部分(坪),①扣車位建坪單價,②÷主建物,③÷主+附,含車位單價(僅參考),備註標記,備註原文,來源檔
RPTOMLQLQHLGFFA09DA,大安區,大安區忠孝東路四段248巷2號三樓,2026-08-23,華廈,住家用,3,5,41.3,3300,無,,,是,31.2906,22.1944,3.1611,5.9351,105.46,148.69,130.15,105.46,,,a_current.csv
RPUNMLTKQHLGFDA09DA,信義區,信義區基隆路一段380巷4號八樓,2026-08-17,住宅大樓,住家用,8,12,42.9,800,無,,,是,12.0274,7.9921,1.3068,2.7286,66.51,100.1,86.03,66.51,特殊關係、含增建/未登記,僅購買1/3產權親友、員工、共有人或其他特殊關係間之交易；陽台外推；,a_current.csv
RPSNMLOKQHLGFDA38DA,信義區,信義區忠孝東路四段553巷22弄8之1號五樓,2026-08-05,華廈,住家用,5,7,48.5,1800,無,,,是,26.2903,20.2796,3.4455,2.5652,68.47,88.76,75.87,68.47,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_current.csv
RPSNMLPLQHLGFDA58DA,信義區,信義區吳興街156巷61號三樓,2026-07-30,公寓,住家用,3,4,50.7,950,無,,,是,27.9782,27.9782,0,0,33.95,33.95,33.95,33.95,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_current.csv
RPWNMLSKQHLGFFA76DA,大安區,大安區敦化南路一段236巷31號七樓,2026-07-28,華廈,住家用,7,7,48.5,688,無,,,是,6.5764,5.1455,0.7169,0.7139,104.62,133.71,117.36,104.62,特殊關係、含增建/未登記、頂樓,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,a_current.csv
RPTOMLTLPHLGFDA09DA,信義區,信義區基隆路一段380巷28號十一樓之1,2026-07-27,住宅大樓,住家用,11,12,42.8,2600,無,,,是,26.4355,16.8553,2.1871,7.3931,98.35,154.25,136.54,98.35,含增建/未登記,陽台外推；,a_current.csv
RPVOMLOJQHLGFFA88DA,大安區,大安區敦化南路二段152號十二樓,2026-07-07,住宅大樓,住家用,12,19,41.2,3650,無,,,是,40.8587,24.2968,3.6966,12.8653,89.33,150.23,130.39,89.33,含增建/未登記,陽台外推；,a_current.csv
RPWNMLOLPHLGFFA98DA,大安區,大安區復興南路一段135巷3號二樓,2026-07-01,公寓,住家用,2,4,56.8,3500,無,,,是,41.6452,38.5083,3.1369,0,84.04,90.89,84.04,84.04,,,a_current.csv
RPQOMLMLPHLGFFA38EA,大安區,大安區信義路四段265巷5弄5號三樓,2026-05-26,華廈,住家用,3,7,43.8,2050,有,,,否,37.1531,27.107,4.6071,5.439,,,,55.18,特殊關係,免除價金新台幣244萬元整。親友、員工、共有人或其他特殊關係間之交易；,a_current.csv
RPRNMLRKQHLGFFA78DA,大安區,大安區大安路一段52巷32號五樓,2026-05-16,住宅大樓,住家用,5,11,55.5,4300,無,,,是,43.5267,43.5267,0,0,98.79,98.79,98.79,98.79,,,a_current.csv
