物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-001,優先看屋,仁愛林蔭管理名邸(C25003E),,臺北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用,3房(室)2廳2衛,2,15,40,有,"8,700 元 / 月繳",6800,6800,無,,,,符合,6800,"無車位，總價：6,800 萬 ≤ 預算 8,000 萬",37.31,6.26,43.57,,6.08,,49.64,符合,符合,主建物符合 26 坪,5,703.3,9,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝21世紀不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,182.26,136.99,研究日查得刊登頁，實際可售狀態待確認,1,21世紀不動產:7613422,https://www.century21.com.tw/buypage/7613422,2026-09-20T13:49:10+08:00,,,,,主建物 37.31 坪，高於門檻 11.3 坪,屋齡 40 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-002,優先看屋,敦南遠企芳鄰華廈,,臺北市大安區敦化南路二段,大安區,中古屋,電梯華廈,,3房(室)2廳2衛,2,7,45.9,有,"3,289 元 / 月繳",5498,5498,無,,,,符合,5498,"無車位，總價：5,498 萬 ≤ 預算 8,000 萬",35.2,5.87,41.07,,5.89,,46.96,符合,符合,主建物符合 26 坪,2A,562.5,7.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝21世紀不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,156.19,117.08,研究日查得刊登頁，實際可售狀態待確認,1,21世紀不動產:7623223,https://www.century21.com.tw/buypage/7623223,2026-09-20T13:49:17+08:00,,,,,主建物 35.2 坪，高於門檻 9.2 坪,屋齡 45.9 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,謄本登記用途未揭露（需確認為住家用）
XA-003,目前不符合條件,通化夜市金透天,,台北市大安區臨江街,大安區,中古屋,透天,住家用,8房(室)4廳4衛,1-3,3,36.8,無,"2,900 元 / 月繳",8500,8500,無,,,,超出預算,8500,"無車位，總價：8,500 萬 > 預算 8,000 萬",45.66,1.57,47.23,,,,47.23,符合,符合,主建物符合 26 坪,4,619.8,8,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,186.16,179.97,研究日查得刊登頁，實際可售狀態待確認,4,21世紀不動產:7629404 | 住商不動產:OS224437 | 台灣房屋:TA02472517 | 永慶房屋:7248617,https://www.century21.com.tw/buypage/7629404 | https://www.hbhousing.com.tw/detail?sn=OS224437 | https://www.twhg.com.tw/buy/TA02472517 | https://buy.yungching.com.tw/house/7248617,2026-09-20T13:49:34+08:00 | 2026-09-20T13:26:36+08:00 | 2026-09-20T13:28:07+08:00 | 2026-09-20T13:31:10+08:00,,,,,主建物 45.66 坪，高於門檻 19.7 坪,"超出 8,000 萬預算",
XA-004,優先看屋,文普國際大廈｜101景觀採光3+1房,文普國際大廈,台北市大安區基隆路二段,大安區,中古屋,電梯大樓,住家用 ／ 集合住宅,3房(室)2廳2衛,8,12,45.2,有,3460元/每月,5498,5698,無,,,,符合,5698,"無車位，總價：5,698 萬 ≤ 預算 8,000 萬",38.77,4.28,43.05,,7.09,,50.14,符合,符合,主建物符合 26 坪,4,840.5,11,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,146.97,113.64,研究日查得刊登頁，實際可售狀態待確認,9,21世紀不動產:7629773 | 中信房屋:2101645 | 東森房屋:748802 | 住商不動產:OS223100 | 太平洋房屋:S2736304 | 信義房屋:0047RN | 台灣房屋:GA02305634 | 有巢氏房屋:7313752 | 永慶房屋:7414195,https://www.century21.com.tw/buypage/7629773 | https://buy.cthouse.com.tw/house/2101645.html | https://www.etwarm.com.tw/houses/buy/748802 | https://www.hbhousing.com.tw/detail?sn=OS223100 | https://www.pacific.com.tw/Object/ObjectDetail/?saleID=S2736304 | https://www.sinyi.com.tw/buy/house/0047RN | https://www.twhg.com.tw/buy/GA02305634 | https://buy.u-trust.com.tw/house/7313752 | https://buy.yungching.com.tw/house/7414195,2026-09-20T13:49:40+08:00 | 2026-09-20T13:28:06+08:00 | 2026-09-20T13:24:21+08:00 | 2026-09-20T13:27:04+08:00 | 2026-09-20T13:42:12+08:00 | 2026-09-20T13:29:04+08:00 | 2026-09-20T13:26:28+08:00 | 2026-09-20T13:34:06+08:00 | 2026-09-20T13:29:28+08:00,,,,,主建物 38.77 坪，高於門檻 12.8 坪,屋齡 45.2 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；各平台開價不一致（5498～5698 萬）：需確認屋主實際委託價
XA-005,目前不符合條件,吳興街增值一樓,,台北市信義區吳興街,信義區,中古屋,公寓,住家用,4房(室)2廳1衛,1,5,48.7,無,,3300,3300,有,是,,,符合,3300,"含車位總價：3,300 萬 ≤ 預算 8,000 萬",16.41,3.81,20.22,,,8.57,28.79,不符合,不符合,兩種口徑皆未達 26 坪,4,913.8,11.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,2,21世紀不動產:7631878 | 住商不動產:WS59380,https://www.century21.com.tw/buypage/7631878 | https://www.hbhousing.com.tw/detail?sn=WS59380,2026-09-20T13:49:27+08:00 | 2026-09-20T13:28:06+08:00,,,,,（目前沒有明確優勢）,屋齡 48.7 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,管理費未揭露
XA-006,優先看屋,安和小紅樓(63巷南棟)｜信義安和雙併３房美廈,安和小紅樓(63巷南棟),台北市大安區敦化南路二段63巷（信義房屋社區頁代表門牌：63巷38號；本戶門牌未公開）,大安區,中古屋,華廈,住家用 ／ 集合住宅,3房2廳2衛,2,7,42.3,有,"每月約 1,000 元。",4288,4288,無,否,,否,符合,4288,"無車位，總價：4,288 萬 ≤ 預算 8,000 萬",29.48,3.99,33.47,,3.34,,36.82,符合,符合,主建物符合 26 坪,2A,338.7,4.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝21世紀不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,145.45,116.46,研究日查得刊登頁，實際可售狀態待確認,2,21世紀不動產:7632852 | 信義房屋:9757YH,https://www.century21.com.tw/buypage/7632852 | https://www.sinyi.com.tw/buy/house/9757YH,2026-09-20T13:48:05+08:00 | 2026-09-20T13:26:50+08:00,巷內（敦化南路二段63巷，介於敦化南路與安和路二段之間；21世紀文案稱巷寬約 11 米；非直接臨敦化南路幹道，實際門牌待確認）,捷運信義安和站（出口2／2A，平台估約 333–342 公尺）、私立立人國中小（信義頁約 135 公尺）、成功市場、通化商圈（21世紀頁列示）、敦安公園等鄰里公園（21世紀頁列示）,是,,敦南二段63巷內、主建物 29.48 坪、公設僅約 9%，平台估到捷運出口約 340 公尺,42 年屋齡的 2 樓且陽台外推，開價每主建物坪 145 萬略高於所有可查到的參考成交,本戶實際門牌（63巷幾號、是否臨 63 巷或在 54 弄內）；建物謄本／測量成果圖：確認陽台 3.99 坪位置與外推範圍；陽台外推是否為民國 84 年以前既存、有無違建查報或拆除通知；兩間浴廁是否有對外窗；同社區乾淨（無特殊關係、無增建備註）的成交資料——查詢期間內沒有
XA-007,先補資料再決定,【外44】敦南美邸,敦南美邸（取自刊登標題，待確認）,臺北市大安區四維路,大安區,中古屋,電梯大樓,住家用,2房(室)2廳2衛,4,13,13.6,有,"35,205 元 / 季繳",7996,7996,有,否,150,,待確認,,"房屋（＋車位？）：介於 7,996～8,146 萬，跨過預算 8,000 萬 → 總價待確認",31.61,5.95,37.56,,18.32,,55.88,符合,符合,主建物符合 26 坪,2A,950,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝21世紀不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,252.96,143.09,研究日查得刊登頁，實際可售狀態待確認,1,21世紀不動產:7633970,https://www.century21.com.tw/buypage/7633970,2026-09-20T13:48:20+08:00,推定巷內（四維路192巷，依實價登錄同棟門牌推定；刊登頁只揭露四維路），待確認,遠企購物中心／敦南遠企商圈（頁面）、成功市場（頁面：鄰近市場）、四維公園等鄰里公園（頁面）、捷運科技大樓站、六張犁站（頁面列的鄰近捷運）、建安國小、大安國中（頁面：鄰近學校，非指學區）,是,,屋齡 13.6 年、單層一戶、主建物 31.61 坪的精裝修電梯宅，可對到同棟成交,開價比同棟 7 樓含車位成交高約 23%，車位另計會超過預算，土地持分與使照 8 項事項未說明,車位是否可以完全不買；不買時屋主是否仍願意出售。；「土地持分需再分割」後，隨屋移轉的土地持分坪數。；「使用執照有 8 項列入銷售交代」的逐項內容。；格局圖；附屬建物 5.95 坪的組成（陽台／雨遮）。；本戶有無夾層、陽台外推或其他增建。；實際門牌（是否為四維路192巷16號 4 樓）、社區總戶數、管委會與公共基金狀況。；管理費是否含車位清潔費；塔式車位的保養費與車型限制。
XA-008,先補資料再決定,甲第名宮｜甲第名宮後棟捷運坡車,甲第名宮,台北市大安區信義路四段,大安區,中古屋,電梯大樓,商業用（信義、中信、21世紀）；住商不動產頁標示「辦公室」,3房(室)2廳2衛,5,15,43.83,有,"各平台不一致：信義／21世紀 每月約5,216元＋車位管理費600元（中信5,816元為兩者合計）；住商 6,530元＋車位730元；待確認",6580,6958,有,是,350,,符合,6958,"含車位總價：6,958 萬 ≤ 預算 8,000 萬",43.38,5.84,49.22,,8.73,13.97,71.92,符合,符合,主建物符合 26 坪,4,34.5,0.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,152.33,114.03,研究日查得刊登頁，實際可售狀態待確認,4,21世紀不動產:7634038 | 中信房屋:2127034 | 住商不動產:WS85238 | 信義房屋:4398FD,https://www.century21.com.tw/buypage/7634038 | https://buy.cthouse.com.tw/house/2127034.html | https://www.hbhousing.com.tw/detail?sn=WS85238 | https://www.sinyi.com.tw/buy/house/4398FD,2026-09-20T13:48:36+08:00 | 2026-09-20T13:23:34+08:00 | 2026-09-20T13:25:15+08:00 | 2026-09-20T13:30:41+08:00,門牌在信義路四段、緊鄰 4 號出口；刊登標題稱「後棟」，若屬實則不直接臨信義路、主要開窗朝南面向後方街廓，棟別與面向待現場確認,捷運信義安和站出口4（住商頁標示約 34 公尺；信義頁 53 公尺）、通化公園（住商頁標示約 121 公尺）、仁愛國小（約 391 公尺）、仁愛國中（約 505 公尺）（住商頁距離；學區以教育局公告為準）、通化街／臨江街夜市商圈（21世紀頁列為鄰近商圈）、YouBike 站（中信文案稱下樓即有）,是,,"4 號出口旁、主建物 43 坪含坡道平面車位 6,580 萬，與同建案 2025 年成交單價接近",登記商業用／辦公室、現況辦公室裝修，格局圖標註佔用梯間，各平台價格與費用數字不一致,謄本主要用途與使用執照原核准用途；目前房屋稅／地價稅課徵稅率。；確切門牌與棟別（前棟／後棟）、面向與棟距。；屋主實際委託價與車位拆分價；車位能否不買、車位編號與尺寸。；「佔用梯間」的範圍、是否經區權會同意、是否曾被檢舉。；現行管理費與車位清潔費；公共基金與近年大修紀錄。；海砂、輻射檢測與耐震初評資料。
XA-009,先補資料再決定,世貿商業大樓,,臺北市信義區基隆路2段,信義區,中古屋,其他(住辦),一般事務所,1廳2衛,4,12,34,,"每戶8,091(元)/月",5690,5690,無,,,,符合,5690,"無車位，總價：5,690 萬 ≤ 預算 8,000 萬",46.97,2.86,49.83,,9.19,,59.03,符合,符合,主建物符合 26 坪,4,703.5,9,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,121.14,96.39,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1660007,https://buy.cthouse.com.tw/house/1660007.html,2026-09-20T13:29:38+08:00,,,,,主建物 46.97 坪，高於門檻 21.0 坪,住宅用途待確認,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；登記用途含非純住家項目（一般事務所）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-010,優先看屋,獨家~敦南捷運收租大四房華廈,,臺北市大安區敦化南路2段,大安區,中古屋,電梯大樓,集合住宅,4房2廳2衛1室,3,7,48.17,有,"每戶4,800(元)/4個月",6888,6888,無,,,,符合,6888,"無車位，總價：6,888 萬 ≤ 預算 8,000 萬",42.41,9.01,51.42,,9.07,,60.49,符合,符合,主建物符合 26 坪,2,314.9,4,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,162.41,113.87,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1815165,https://buy.cthouse.com.tw/house/1815165.html,2026-09-20T13:30:05+08:00,,,,,步行約 4 分到捷運出入口,屋齡 48.17 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
